Title,Year,Duration,IMDB_Rating,Genres
Deadpool,2016,1h 48min,"8,0","Dark Comedy, Gun Fu, Raunchy Comedy, Superhero, Action, Comedy"
Le Roi lion,1994,1h 28min,"8,5","Animal Adventure, Coming-of-Age, Hand-Drawn Animation, Jungle Adventure, Adventure, Animation, Drama, Family, Fantasy, Musical"
Usual Suspects,1995,1h 46min,"8,5","Gangster, Heist, Psychological Drama, Psychological Thriller, Suspense Mystery, Whodunnit, Crime, Drama, Mystery, Thriller"
Là-haut,2009,1h 36min,"8,3","Coming-of-Age, Computer Animation, Globetrotting Adventure, Adventure, Animation, Comedy, Drama, Family"
Iron Man,2008,2h 6min,"7,9","Sci-Fi Epic, Superhero, Action, Adventure, Sci-Fi"
Le Retour du Jedi,1983,2h 11min,"8,3","Action Epic, Adventure Epic, Fantasy Epic, Quest, Sci-Fi Epic, Space Sci-Fi, Sword & Sorcery, Action, Adventure, Fantasy"
Shining,1980,2h 26min,"8,4","Psychological Drama, Psychological Horror, Supernatural Horror, Drama, Horror"
Mad Max: Fury Road,2015,2h,"8,1","Action Epic, Adventure Epic, Car Action, Desert Adventure, Dystopian Sci-Fi, Quest, Road Trip, Action, Adventure, Sci-Fi"
Le Monde de Nemo,2003,1h 40min,"8,2","Animal Adventure, Buddy Comedy, Computer Animation, Quest, Sea Adventure, Adventure, Animation, Comedy, Family"
Arrête-moi si tu peux,2002,2h 21min,"8,1","Caper, Coming-of-Age, Docudrama, Period Drama, True Crime, Biography, Crime, Drama"
Reservoir Dogs,1992,1h 39min,"8,3","Gangster, Heist, Crime, Thriller"
Braveheart,1995,2h 58min,"8,3","Costume Drama, Epic, Period Drama, War Epic, Biography, Drama, War"
Eternal Sunshine of the Spotless Mind,2004,1h 48min,"8,3","Dark Romance, Psychological Drama, Drama, Romance, Sci-Fi"
Will Hunting,1997,2h 6min,"8,3","Coming-of-Age, Psychological Drama, Drama, Romance"
Toy Story,1995,1h 21min,"8,3","Buddy Comedy, Computer Animation, Supernatural Fantasy, Urban Adventure, Adventure, Animation, Comedy, Family, Fantasy"
Gone Girl,2014,2h 29min,"8,1","Erotic Thriller, Psychological Drama, Psychological Thriller, Suspense Mystery, Tragedy, Drama, Mystery, Thriller"
Vol au-dessus d'un nid de coucou,1975,2h 13min,"8,7","Medical Drama, Psychological Drama, Drama"
Jurassic Park,1993,2h 7min,"8,2","Dinosaur Adventure, Jungle Adventure, Action, Adventure, Sci-Fi, Thriller"
No Country for Old Men,2007,2h 2min,"8,2","Contemporary Western, Serial Killer, Crime, Drama, Thriller"
Sixième Sens,1999,1h 47min,"8,2","Psychological Drama, Psychological Thriller, Suspense Mystery, Drama, Mystery, Thriller"
Les Aventuriers de l'arche perdue,1981,1h 55min,"8,4","Adventure Epic, Desert Adventure, Globetrotting Adventure, Quest, Action, Adventure"
Whiplash,2014,1h 46min,"8,5","Psychological Drama, Drama, Music"
Hunger Games,2012,2h 22min,"7,2","Dystopian Sci-Fi, Teen Adventure, Action, Adventure, Sci-Fi, Thriller"
Parasite,2019,2h 12min,"8,5","Dark Comedy, Korean Drama, Psychological Thriller, Tragedy, Drama, Thriller"
Monstres & Cie,2001,1h 32min,"8,1","Buddy Comedy, Computer Animation, Supernatural Fantasy, Urban Adventure, Adventure, Animation, Comedy, Family, Fantasy"
Un homme d'exception,2001,2h 15min,"8,2","Docudrama, Period Drama, Psychological Drama, Biography, Drama, Mystery"
"Alien, le 8ème passager",1979,1h 57min,"8,5","Cyberpunk, Monster Horror, Space Sci-Fi, Horror, Sci-Fi"
Star Wars : Épisode VII - Le Réveil de la Force,2015,2h 18min,"7,8","Action Epic, Adventure Epic, Globetrotting Adventure, Quest, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Sci-Fi"
Harry Potter et les Reliques de la Mort : partie 2,2011,2h 10min,"8,1","Dark Fantasy, Teen Adventure, Teen Fantasy, Adventure, Family, Fantasy, Mystery"
Piège de cristal,1988,2h 12min,"8,2","One-Person Army Action, Action, Holiday, Thriller"
Intouchables,2011,1h 52min,"8,5","Docudrama, Comedy, Drama"
Taxi Driver,1976,1h 54min,"8,2","Psychological Drama, Crime, Drama"
